location_id,name,plainName,cp,lat,lon,createdAt,updatedAt
104,Munera,munera,2612,39.041472,-2.478962,2/21/2016 11:21:57,2/21/2016 11:21:57
105,Navas de Jorquera,navas-de-jorquera,2246,39.278722,-1.720584,2/21/2016 11:21:57,2/21/2016 11:21:57
106,Nerpio,nerpio,2530,38.14771,-2.301309,2/21/2016 11:21:57,2/21/2016 11:21:57
107,Ontur,ontur,2652,38.614044,-1.498249,2/21/2016 11:21:57,2/21/2016 11:21:57
108,Ossa de Montiel,ossa-de-montiel,2611,38.964549,-2.747284,2/21/2016 11:21:57,2/21/2016 11:21:57
109,Paterna del Madera,paterna-del-madera,2136,38.599315,-2.341454,2/21/2016 11:21:57,2/21/2016 11:21:57
110,Peñas de San Pedro,penas-de-san-pedro,2120,38.725385,-1.998634,2/21/2016 11:21:57,2/21/2016 11:21:57
111,Peñascosa,penascosa,2313,38.674465,-2.410639,2/21/2016 11:21:57,2/21/2016 11:21:57
112,Pétrola,petrola,2692,38.826685,-1.553889,2/21/2016 11:21:57,2/21/2016 11:21:57
113,Povedilla,povedilla,2311,38.696055,-2.597208,2/21/2016 11:21:57,2/21/2016 11:21:57
114,Pozo Cañada,pozo-canada,2510,38.803715,-1.730754,2/21/2016 11:21:57,2/21/2016 11:21:57
115,Pozohondo,pozohondo,2141,38.721655,-1.908719,2/21/2016 11:21:57,2/21/2016 11:21:57
116,Pozo-Lorente,pozo-lorente,2154,39.07692,-1.506109,2/21/2016 11:21:57,2/21/2016 11:21:57
117,Pozuelo,pozuelo,2327,38.805655,-2.099439,2/21/2016 11:21:57,2/21/2016 11:21:57
118,Recueja,recueja,2249,39.175786,-1.490879,2/21/2016 11:21:57,2/21/2016 11:21:57
119,Riópar,riopar,2450,38.498984,-2.418155,2/21/2016 11:21:57,2/21/2016 11:21:57
120,Robledo,robledo,2340,38.75924,-2.450479,2/21/2016 11:21:57,2/21/2016 11:21:57
121,Roda,roda,2630,39.207517,-2.156067,2/21/2016 11:21:57,2/21/2016 11:21:57
122,Salobre,salobre,2316,38.59387,-2.551379,2/21/2016 11:21:57,2/21/2016 11:21:57
123,San Pedro,san-pedro,2326,38.82859,-2.182854,2/21/2016 11:21:57,2/21/2016 11:21:57
124,Socovos,socovos,2435,38.333235,-1.988449,2/21/2016 11:21:57,2/21/2016 11:21:57
125,Tarazona de la Mancha,tarazona-de-la-mancha,2100,39.265103,-1.912539,2/21/2016 11:21:57,2/21/2016 11:21:57
126,Tobarra,tobarra,2500,38.59495,-1.689489,2/21/2016 11:21:57,2/21/2016 11:21:57
127,Valdeganga,valdeganga,2150,39.132815,-1.679514,2/21/2016 11:21:57,2/21/2016 11:21:57
128,Vianos,vianos,2315,38.63337,-2.500639,2/21/2016 11:21:57,2/21/2016 11:21:57
129,Villa de Ves,villa-de-ves,2213,39.223689,-1.258827,2/21/2016 11:21:57,2/21/2016 11:21:57
130,Villalgordo del Júcar,villalgordo-del-jucar,2636,39.296334,-2.063243,2/21/2016 11:21:57,2/21/2016 11:21:57
131,Villamalea,villamalea,2270,39.3642,-1.596909,2/21/2016 11:21:57,2/21/2016 11:21:57
132,Villapalacios,villapalacios,2350,38.576699,-2.628761,2/21/2016 11:21:57,2/21/2016 11:21:57
133,Villarrobledo,villarrobledo,2600,39.26375,-2.602619,2/21/2016 11:21:57,2/21/2016 11:21:57
134,Villatoya,villatoya,2215,39.333984,-1.338424,2/21/2016 11:21:57,2/21/2016 11:21:57
135,Villavaliente,villavaliente,2154,39.12588,-1.456579,2/21/2016 11:21:57,2/21/2016 11:21:57
136,Villaverde de Guadalimar,villaverde-de-guadalimar,2460,38.45639,-2.519579,2/21/2016 11:21:57,2/21/2016 11:21:57
137,Viveros,viveros,2310,38.770522,-2.573744,2/21/2016 11:21:57,2/21/2016 11:21:57
138,Yeste,yeste,2480,38.368387,-2.318584,2/21/2016 11:21:57,2/21/2016 11:21:57
139,Adsubia,adsubia,3786,38.847198,-0.15077,2/21/2016 11:21:57,2/21/2016 11:21:57
140,Agost,agost,3698,38.43924,-0.639824,2/21/2016 11:21:57,2/21/2016 11:21:57
141,Agres,agres,3837,38.783307,-0.51778,2/21/2016 11:21:57,2/21/2016 11:21:57
142,Aigües,aigues,3569,38.499885,-0.363064,2/21/2016 11:21:57,2/21/2016 11:21:57
143,Albatera,albatera,3340,38.17973,-0.871134,2/21/2016 11:21:57,2/21/2016 11:21:57
144,Alcalalí,alcalali,3728,38.751875,-0.041874,2/21/2016 11:21:57,2/21/2016 11:21:57
145,Alcocer de Planes,alcocer-de-planes,3841,38.794684,-0.402675,2/21/2016 11:21:57,2/21/2016 11:21:57
146,Alcoleja,alcoleja,3814,38.675258,-0.332336,2/21/2016 11:21:57,2/21/2016 11:21:57
147,Alcoi,alcoi,3801,38.69841,-0.47327,2/21/2016 11:21:57,2/21/2016 11:21:57
148,Alfafara,alfafara,3838,38.774775,-0.555039,2/21/2016 11:21:57,2/21/2016 11:21:57
149,Alfàs del Pi,alfas-del-pi,3580,38.5793,-0.1033,2/21/2016 11:21:57,2/21/2016 11:21:57
150,Algorfa,algorfa,3169,38.085865,-0.795822,2/21/2016 11:21:57,2/21/2016 11:21:57
151,Algueña,alguena,3668,38.339069,-1.003853,2/21/2016 11:21:57,2/21/2016 11:21:57
152,Alacant,alacant,3004,38.344082,-0.48047,2/21/2016 11:21:57,2/21/2016 11:21:57
153,Almoradí,almoradi,3160,38.11029,-0.792159,2/21/2016 11:21:57,2/21/2016 11:21:57
154,Almudaina,almudaina,3827,38.762165,-0.353404,2/21/2016 11:21:57,2/21/2016 11:21:57
155,Alqueria d Asnar,alqueria-dasnar,3829,38.772672,-0.42572,2/21/2016 11:21:57,2/21/2016 11:21:57
156,Altea,altea,3590,38.600835,-0.050684,2/21/2016 11:21:57,2/21/2016 11:21:57
157,Aspe,aspe,3680,38.3472,-0.768984,2/21/2016 11:21:57,2/21/2016 11:21:57
158,Balones,balones,3812,38.735648,-0.341254,2/21/2016 11:21:57,2/21/2016 11:21:57
159,Banyeres de Mariola,banyeres-de-mariola,3450,38.712087,-0.658074,2/21/2016 11:21:57,2/21/2016 11:21:57
160,Benasau,benasau,3814,38.689777,-0.344645,2/21/2016 11:21:57,2/21/2016 11:21:57
161,Beneixama,beneixama,3460,38.70061,-0.765919,2/21/2016 11:21:57,2/21/2016 11:21:57
